ev_number       event_name      CBAC    CFMN    CNIS    CPOZ
1 flegrei_2018_09_18_21_36_41   x   -1  x   +1
2 flegrei_2023_06_11_06_44_25   +1  -1  +1  +1
3 flegrei_2023_09_07_17_45_28   -1  -1  +1  -1
4 flegrei_2023_09_26_07_10_29   -1  -1  -1  +1
5 flegrei_2023_10_02_20_08_26   -1  +1  +1  -1
6 flegrei_2024_04_27_03_44_56   -1  +1  +1  +1
7 flegrei_2024_05_22_06_28_00   -1  +1  -1  +1
8 flegrei_2024_06_08_01_52_04   -1  +1  +1  -1
9 flegrei_2024_06_18_01_58_24   -1  x   +1  +1
10 flegrei_2024_07_26_11_46_21  -1  +1  -1  +1
11 flegrei_2024_08_30_19_23_15  -1  +1  +1  -1
12 flegrei_2025_02_16_14_30_02  -1  +1  -1  +1
13 flegrei_2025_03_13_00_25_02  -1  -1  -1  +1
14 flegrei_2025_03_14_18_44_10  +1  +1  -1  +1
15 flegrei_2025_06_30_10_47_11  -1  +1  -1  +1
16 flegrei_2025_07_18_07_14_22  +1  +1  -1  +1
17 flegrei_2025_08_28_19_53_23  -1  +1  +1  +1
18 flegrei_2025_09_01_15_22_01  -1  -1  +1  -1
19 flegrei_2025_10_12_13_35_50  +1  +1  x   +1
20 flegrei_2026_05_21_03_50_52  +1  +1  -1  +1
21 flegrei_2026_07_31_20_00_09  +1  x   -1  -1
