#event_name lat_event_VT lon_event_VT east_shift_16 east_shift_84 nord_shift_16 nord_shift_84
#flegrei_2018_09_18_21_36_41 40.827499 14.148 -4450.4822 -1148.821 -803.13892 1414.4677
flegrei_2023_06_11_06_44_25 40.8391408741 14.0976047299 2541.306 3759.5825 -2074.7541 -1514.6031
#flegrei_2023_09_07_17_45_28 40.8292683458 14.149936362 -3011.5846 -2274.1239 -1135.6229 -331.92888
flegrei_2023_09_26_07_10_29 40.795591335 14.0818128645 2797.3265 4625.9058 1985.6105 2950.8266
flegrei_2023_10_02_20_08_26 40.8197012813 14.1434928775 -1505.0625 306.87108 320.52772 1252.345
flegrei_2024_04_27_03_44_56 40.8065862455 14.1033927484 1662.8478 2951.7721 928.81603 1743.4844
flegrei_2024_05_22_06_28_00 40.7982083141 14.0714681041 4670.9464 5625.858 1879.497 2983.9165
flegrei_2024_06_08_01_52_04 40.8331830529 14.153725105 -2651.8931 -867.61201 -1931.1079 -983.6479
flegrei_2024_06_18_01_58_24 40.8235369424 14.0978564591 3145.2634 5749.5753 -604.07734 32.0402
flegrei_2024_07_26_11_46_21 40.7924761247 14.0960735955 2107.6026 3299.5736 2585.65 3576.5948
flegrei_2024_08_30_19_23_15 40.8299575897 14.1413391681 -2299.3763 -1434.0803 -864.14754 -29.703458
flegrei_2025_02_16_14_30_02 40.7984506509 14.1007302043 1613.6698 3768.7025 1693.4315 2920.4361
flegrei_2025_03_13_00_25_02 40.7968809698 14.1385405674 -1942.7569 -1219.7 2967.5578 3403.7154
#flegrei_2025_03_14_18_44_10 40.8150595566 14.1733088881 -4734.4 -3826.8499 498.63001 1380.716
flegrei_2025_06_30_10_47_11 40.808 14.095833 4411.9612 5191.7975 1101.9336 1684.9642
flegrei_2025_07_18_07_14_22 40.815 14.1555 -2671.0132 -522.97227 255.06404 1806.068
flegrei_2025_08_28_19_53_23 40.831 14.092 2973.4146 3994.6186 -1541.0068 -920.93441
flegrei_2025_09_01_15_22_01 40.8295 14.144833 -2538.0499 -66.8772 -1124.6868 206.4928
flegrei_2025_10_12_13_35_50 40.8345 14.092 3080.2798 4192.058 -1740.1837 -1203.5274
flegrei_2026_05_21_03_50_52 40.806 14.106167 1347.548 2839.1323 929.14027 1909.6037
flegrei_2026_07_31_20_00_09 40.8265 14.102667 2087.8264 3128.9014 -1128.1484 -562.71379
