#event_name lat_event_VT lon_event_VT east_shift_16 east_shift_84 nord_shift_16 nord_shift_84
#flegrei_2018_09_18_21_36_41 40.827499 14.148 -4509.6838 -1124.4074 -1275.2755 1668.1789
flegrei_2023_06_11_06_44_25 40.834301 14.1102 210.54077 2025.8504 -1834.6089 -427.00102
flegrei_2023_09_07_17_45_28 40.831299 14.1465 -2989.0735 -1716.1778 -1294.9386 254.18912
flegrei_2023_09_26_07_10_29 40.805833 14.108 -662.26808 1494.7325 785.59762 2019.7711
flegrei_2023_10_02_20_08_26 40.830667 14.15 -3128.9141 -1118.9284 -1433.8721 88.507207
flegrei_2024_04_27_03_44_56 40.8085 14.094 1583.4023 3426.2452 607.9877 1881.1273
flegrei_2024_05_22_06_28_00 40.8085 14.107667 -138.17286 2344.406 222.68148 2073.3492
flegrei_2024_06_08_01_52_04 40.829833 14.144 -1130.9944 276.0281 -1470.2395 -304.86146
flegrei_2024_06_18_01_58_24 40.832 14.084333 4168.5394 5506.6182 -1330.7858 -713.42387
flegrei_2024_07_26_11_46_21 40.805667 14.098333 642.64064 3765.6105 1201.7693 3507.3748
flegrei_2024_08_30_19_23_15 40.828167 14.1445 -2114.4969 -236.7428 -462.33994 858.65926
flegrei_2025_02_16_14_30_02 40.809667 14.105667 -574.86323 2076.9656 -22.336418 1807.9313
flegrei_2025_03_13_00_25_02 40.8175 14.149 -3610.9856 -2092.7818 818.44304 1920.1515
flegrei_2025_03_14_18_44_10 40.819667 14.1575 -3546.3256 -609.41852 -233.29251 1266.0007
